,SUBID,ATTR,KO,A,B,ANS
0,14_2,Loudness,1,2,7,2
1,14_2,Loudness,1,1,5,1
2,14_2,Loudness,1,7,1,2
3,14_2,Loudness,1,6,3,1
4,14_2,Loudness,1,1,6,1
5,14_2,Loudness,1,4,5,1
6,14_2,Loudness,1,7,4,2
7,14_2,Loudness,1,4,6,1
8,14_2,Loudness,1,7,5,2
9,14_2,Loudness,1,5,6,1
10,14_2,Loudness,0,3,5,2
11,14_2,Loudness,0,2,6,2
12,14_2,Loudness,0,3,7,2
13,14_2,Loudness,0,2,3,1
14,14_2,Loudness,0,3,4,2
15,14_2,Loudness,0,6,7,1
16,14_2,Loudness,0,2,5,2
17,14_2,Loudness,0,1,2,1
18,14_2,Loudness,0,2,4,2
19,14_2,Loudness,0,1,4,1
20,14_2,Loudness,0,1,3,1
