,SUBID,ATTR,KO,A,B,ANS
0,28_1,Loudness,1,7,6,2
1,28_1,Loudness,1,5,3,1
2,28_1,Loudness,1,6,5,1
3,28_1,Loudness,1,2,1,2
4,28_1,Loudness,1,6,1,2
5,28_1,Loudness,1,2,4,2
6,28_1,Loudness,1,6,4,2
7,28_1,Loudness,1,6,2,1
8,28_1,Loudness,0,2,7,1
9,28_1,Loudness,0,5,7,1
10,28_1,Loudness,0,1,4,1
11,28_1,Loudness,0,3,7,1
12,28_1,Loudness,0,3,4,2
13,28_1,Loudness,0,1,7,1
14,28_1,Loudness,0,1,3,1
15,28_1,Loudness,0,2,3,2
16,28_1,Loudness,0,1,5,1
17,28_1,Loudness,0,2,5,2
18,28_1,Loudness,0,4,7,1
19,28_1,Loudness,0,4,5,1
20,28_1,Loudness,0,3,6,2
