,SUBID,ATTR,KO,A,B,ANS
0,28_3,Loudness,1,1,4,1
1,28_3,Loudness,1,7,5,2
2,28_3,Loudness,1,1,5,1
3,28_3,Loudness,1,3,6,2
4,28_3,Loudness,1,1,6,2
5,28_3,Loudness,1,3,2,2
6,28_3,Loudness,1,1,2,1
7,28_3,Loudness,1,4,5,1
8,28_3,Loudness,1,4,2,1
9,28_3,Loudness,0,2,5,2
10,28_3,Loudness,0,5,6,2
11,28_3,Loudness,0,4,6,1
12,28_3,Loudness,0,6,7,1
13,28_3,Loudness,0,3,5,2
14,28_3,Loudness,0,1,3,1
15,28_3,Loudness,0,2,6,2
16,28_3,Loudness,0,2,7,1
17,28_3,Loudness,0,3,4,2
18,28_3,Loudness,0,3,7,2
19,28_3,Loudness,0,4,7,1
20,28_3,Loudness,0,1,7,1
