,SUBID,ATTR,KO,A,B,ANS
0,25_3,Reverberance,1,6,4,1
1,25_3,Reverberance,1,1,3,1
2,25_3,Reverberance,1,6,1,1
3,25_3,Reverberance,1,7,2,1
4,25_3,Reverberance,1,6,7,1
5,25_3,Reverberance,1,5,4,2
6,25_3,Reverberance,1,4,1,2
7,25_3,Reverberance,1,1,7,1
8,25_3,Reverberance,1,4,3,1
9,25_3,Reverberance,1,4,7,1
10,25_3,Reverberance,0,1,2,1
11,25_3,Reverberance,0,3,6,2
12,25_3,Reverberance,0,2,3,2
13,25_3,Reverberance,0,5,7,1
14,25_3,Reverberance,0,3,7,1
15,25_3,Reverberance,0,3,5,2
16,25_3,Reverberance,0,2,6,2
17,25_3,Reverberance,0,5,6,2
18,25_3,Reverberance,0,2,5,2
19,25_3,Reverberance,0,2,4,2
20,25_3,Reverberance,0,1,5,1
