,SUBID,ATTR,KO,A,B,ANS
0,10_3,Reverberance,1,4,1,2
1,10_3,Reverberance,1,3,5,2
2,10_3,Reverberance,1,1,5,1
3,10_3,Reverberance,1,7,2,2
4,10_3,Reverberance,1,1,2,1
5,10_3,Reverberance,1,4,6,2
6,10_3,Reverberance,1,6,5,1
7,10_3,Reverberance,1,6,2,1
8,10_3,Reverberance,1,4,5,1
9,10_3,Reverberance,1,4,2,1
10,10_3,Reverberance,0,3,7,1
11,10_3,Reverberance,0,2,5,2
12,10_3,Reverberance,0,2,3,2
13,10_3,Reverberance,0,3,6,2
14,10_3,Reverberance,0,4,7,1
15,10_3,Reverberance,0,5,7,1
16,10_3,Reverberance,0,1,3,1
17,10_3,Reverberance,0,1,6,2
18,10_3,Reverberance,0,6,7,1
19,10_3,Reverberance,0,1,7,1
20,10_3,Reverberance,0,3,4,2
