,SUBID,ATTR,KO,A,B,ANS
0,29_2,Reverberance,1,4,6,2
1,29_2,Reverberance,1,5,1,2
2,29_2,Reverberance,1,6,1,2
3,29_2,Reverberance,1,7,3,2
4,29_2,Reverberance,1,1,3,1
5,29_2,Reverberance,1,5,2,1
6,29_2,Reverberance,1,6,5,1
7,29_2,Reverberance,1,6,3,1
8,29_2,Reverberance,1,4,5,1
9,29_2,Reverberance,1,4,3,1
10,29_2,Reverberance,0,2,7,1
11,29_2,Reverberance,0,2,4,2
12,29_2,Reverberance,0,4,7,1
13,29_2,Reverberance,0,3,5,1
14,29_2,Reverberance,0,1,7,1
15,29_2,Reverberance,0,6,7,1
16,29_2,Reverberance,0,2,3,1
17,29_2,Reverberance,0,2,6,2
18,29_2,Reverberance,0,5,7,1
19,29_2,Reverberance,0,1,2,1
20,29_2,Reverberance,0,1,4,1
