,SUBID,ATTR,KO,A,B,ANS
0,10_2,Loudness,1,3,1,2
1,10_2,Loudness,1,5,2,1
2,10_2,Loudness,1,1,5,1
3,10_2,Loudness,1,7,6,2
4,10_2,Loudness,1,1,6,1
5,10_2,Loudness,1,3,4,2
6,10_2,Loudness,1,4,5,2
7,10_2,Loudness,1,5,6,2
8,10_2,Loudness,1,5,7,1
9,10_2,Loudness,0,2,6,2
10,10_2,Loudness,0,4,6,2
11,10_2,Loudness,0,1,4,1
12,10_2,Loudness,0,3,5,2
13,10_2,Loudness,0,2,7,2
14,10_2,Loudness,0,4,7,1
15,10_2,Loudness,0,1,2,1
16,10_2,Loudness,0,2,4,2
17,10_2,Loudness,0,2,3,1
18,10_2,Loudness,0,1,7,1
19,10_2,Loudness,0,3,6,2
20,10_2,Loudness,0,3,7,2
