,SUBID,ATTR,KO,A,B,ANS
0,28_2,Loudness,1,5,6,2
1,28_2,Loudness,1,7,1,2
2,28_2,Loudness,1,6,1,2
3,28_2,Loudness,1,4,3,1
4,28_2,Loudness,1,1,4,1
5,28_2,Loudness,1,7,2,2
6,28_2,Loudness,1,6,2,1
7,28_2,Loudness,1,6,4,2
8,28_2,Loudness,1,6,3,1
9,28_2,Loudness,0,1,2,1
10,28_2,Loudness,0,1,5,1
11,28_2,Loudness,0,3,5,2
12,28_2,Loudness,0,4,7,1
13,28_2,Loudness,0,6,7,1
14,28_2,Loudness,0,1,3,1
15,28_2,Loudness,0,2,5,2
16,28_2,Loudness,0,4,5,1
17,28_2,Loudness,0,5,7,1
18,28_2,Loudness,0,3,7,2
19,28_2,Loudness,0,2,3,2
20,28_2,Loudness,0,2,4,2
