,SUBID,ATTR,KO,A,B,ANS
0,19_2,Reverberance,1,2,3,1
1,19_2,Reverberance,1,4,5,1
2,19_2,Reverberance,1,2,4,1
3,19_2,Reverberance,1,1,6,2
4,19_2,Reverberance,1,2,6,2
5,19_2,Reverberance,1,1,7,1
6,19_2,Reverberance,1,2,1,2
7,19_2,Reverberance,1,2,7,2
8,19_2,Reverberance,0,1,5,1
9,19_2,Reverberance,0,3,6,2
10,19_2,Reverberance,0,3,7,1
11,19_2,Reverberance,0,2,5,1
12,19_2,Reverberance,0,1,3,2
13,19_2,Reverberance,0,1,4,2
14,19_2,Reverberance,0,5,7,1
15,19_2,Reverberance,0,4,7,1
16,19_2,Reverberance,0,3,4,2
17,19_2,Reverberance,0,5,6,2
18,19_2,Reverberance,0,6,7,1
19,19_2,Reverberance,0,4,6,2
20,19_2,Reverberance,0,3,5,2
