,SUBID,ATTR,KO,A,B,ANS
0,31_3,Reverberance,1,4,5,1
1,31_3,Reverberance,1,7,2,2
2,31_3,Reverberance,1,4,2,1
3,31_3,Reverberance,1,1,6,2
4,31_3,Reverberance,1,4,6,2
5,31_3,Reverberance,1,1,3,1
6,31_3,Reverberance,1,4,1,2
7,31_3,Reverberance,1,4,3,1
8,31_3,Reverberance,0,1,5,1
9,31_3,Reverberance,0,2,5,1
10,31_3,Reverberance,0,1,7,1
11,31_3,Reverberance,0,5,7,1
12,31_3,Reverberance,0,1,2,2
13,31_3,Reverberance,0,3,6,2
14,31_3,Reverberance,0,5,6,2
15,31_3,Reverberance,0,2,6,2
16,31_3,Reverberance,0,3,7,1
17,31_3,Reverberance,0,3,5,1
18,31_3,Reverberance,0,6,7,1
19,31_3,Reverberance,0,2,3,1
20,31_3,Reverberance,0,4,7,1
