,SUBID,ATTR,KO,A,B,ANS
0,19_3,Reverberance,1,2,1,2
1,19_3,Reverberance,1,6,7,1
2,19_3,Reverberance,1,1,6,1
3,19_3,Reverberance,1,3,4,2
4,19_3,Reverberance,1,1,4,1
5,19_3,Reverberance,1,2,5,1
6,19_3,Reverberance,1,2,6,2
7,19_3,Reverberance,1,6,4,2
8,19_3,Reverberance,1,6,3,1
9,19_3,Reverberance,0,5,6,2
10,19_3,Reverberance,0,2,7,1
11,19_3,Reverberance,0,5,7,1
12,19_3,Reverberance,0,1,5,1
13,19_3,Reverberance,0,1,3,1
14,19_3,Reverberance,0,4,7,1
15,19_3,Reverberance,0,2,4,2
16,19_3,Reverberance,0,3,5,1
17,19_3,Reverberance,0,4,5,1
18,19_3,Reverberance,0,2,3,2
19,19_3,Reverberance,0,3,7,2
20,19_3,Reverberance,0,1,7,1
