,SUBID,ATTR,KO,A,B,ANS
0,13_2,Loudness,1,6,5,2
1,13_2,Loudness,1,7,3,1
2,13_2,Loudness,1,5,7,1
3,13_2,Loudness,1,1,4,1
4,13_2,Loudness,1,5,1,2
5,13_2,Loudness,1,2,4,2
6,13_2,Loudness,1,5,4,1
7,13_2,Loudness,1,6,7,1
8,13_2,Loudness,1,6,4,2
9,13_2,Loudness,0,2,3,2
10,13_2,Loudness,0,2,6,2
11,13_2,Loudness,0,1,7,1
12,13_2,Loudness,0,1,6,1
13,13_2,Loudness,0,3,5,2
14,13_2,Loudness,0,2,5,2
15,13_2,Loudness,0,4,7,1
16,13_2,Loudness,0,1,2,1
17,13_2,Loudness,0,1,3,1
18,13_2,Loudness,0,3,4,2
19,13_2,Loudness,0,3,6,2
20,13_2,Loudness,0,2,7,1
