,SUBID,ATTR,KO,A,B,ANS
0,26_2,Reverberance,1,3,5,2
1,26_2,Reverberance,1,2,6,2
2,26_2,Reverberance,1,5,6,2
3,26_2,Reverberance,1,1,4,1
4,26_2,Reverberance,1,6,1,1
5,26_2,Reverberance,1,2,7,1
6,26_2,Reverberance,1,5,2,2
7,26_2,Reverberance,1,2,1,2
8,26_2,Reverberance,1,2,4,2
9,26_2,Reverberance,0,1,5,1
10,26_2,Reverberance,0,3,4,2
11,26_2,Reverberance,0,3,7,2
12,26_2,Reverberance,0,5,7,1
13,26_2,Reverberance,0,4,6,2
14,26_2,Reverberance,0,2,3,1
15,26_2,Reverberance,0,4,5,1
16,26_2,Reverberance,0,3,6,2
17,26_2,Reverberance,0,6,7,1
18,26_2,Reverberance,0,1,3,2
19,26_2,Reverberance,0,1,7,1
20,26_2,Reverberance,0,4,7,1
