,SUBID,ATTR,KO,A,B,ANS
0,10_1,Loudness,1,6,2,1
1,10_1,Loudness,1,1,7,1
2,10_1,Loudness,1,6,1,2
3,10_1,Loudness,1,3,5,2
4,10_1,Loudness,1,1,5,1
5,10_1,Loudness,1,4,7,1
6,10_1,Loudness,1,6,4,1
7,10_1,Loudness,1,6,5,1
8,10_1,Loudness,1,2,4,2
9,10_1,Loudness,1,4,5,1
10,10_1,Loudness,0,2,7,2
11,10_1,Loudness,0,3,6,2
12,10_1,Loudness,0,1,4,1
13,10_1,Loudness,0,1,2,1
14,10_1,Loudness,0,3,7,2
15,10_1,Loudness,0,5,7,1
16,10_1,Loudness,0,2,5,2
17,10_1,Loudness,0,1,3,1
18,10_1,Loudness,0,6,7,1
19,10_1,Loudness,0,2,3,2
20,10_1,Loudness,0,3,4,2
