,SUBID,ATTR,KO,A,B,ANS
0,31_1,Reverberance,1,1,4,2
1,31_1,Reverberance,1,3,6,2
2,31_1,Reverberance,1,4,6,2
3,31_1,Reverberance,1,2,7,1
4,31_1,Reverberance,1,6,2,1
5,31_1,Reverberance,1,3,5,1
6,31_1,Reverberance,1,4,3,1
7,31_1,Reverberance,1,4,2,2
8,31_1,Reverberance,1,4,7,1
9,31_1,Reverberance,0,1,5,1
10,31_1,Reverberance,0,5,6,2
11,31_1,Reverberance,0,1,2,1
12,31_1,Reverberance,0,2,5,1
13,31_1,Reverberance,0,1,7,1
14,31_1,Reverberance,0,1,6,2
15,31_1,Reverberance,0,5,7,1
16,31_1,Reverberance,0,1,3,1
17,31_1,Reverberance,0,4,5,2
18,31_1,Reverberance,0,6,7,1
19,31_1,Reverberance,0,2,3,2
20,31_1,Reverberance,0,3,7,1
