,SUBID,ATTR,KO,A,B,ANS
0,13_3,Reverberance,1,7,3,2
1,13_3,Reverberance,1,4,1,1
2,13_3,Reverberance,1,3,4,2
3,13_3,Reverberance,1,5,2,2
4,13_3,Reverberance,1,4,2,1
5,13_3,Reverberance,1,6,1,1
6,13_3,Reverberance,1,3,6,2
7,13_3,Reverberance,1,6,2,1
8,13_3,Reverberance,1,3,1,1
9,13_3,Reverberance,1,3,2,2
10,13_3,Reverberance,0,4,6,1
11,13_3,Reverberance,0,1,5,1
12,13_3,Reverberance,0,5,6,2
13,13_3,Reverberance,0,1,2,2
14,13_3,Reverberance,0,4,5,1
15,13_3,Reverberance,0,4,7,1
16,13_3,Reverberance,0,1,7,1
17,13_3,Reverberance,0,3,5,1
18,13_3,Reverberance,0,5,7,1
19,13_3,Reverberance,0,6,7,1
20,13_3,Reverberance,0,2,7,1
