,SUBID,ATTR,KO,A,B,ANS
0,31_3,Loudness,1,4,3,1
1,31_3,Loudness,1,7,5,2
2,31_3,Loudness,1,4,5,1
3,31_3,Loudness,1,1,2,1
4,31_3,Loudness,1,4,1,2
5,31_3,Loudness,1,6,2,1
6,31_3,Loudness,1,4,6,2
7,31_3,Loudness,1,4,2,1
8,31_3,Loudness,0,3,5,2
9,31_3,Loudness,0,1,7,1
10,31_3,Loudness,0,4,7,1
11,31_3,Loudness,0,5,6,2
12,31_3,Loudness,0,2,3,2
13,31_3,Loudness,0,6,7,1
14,31_3,Loudness,0,2,5,2
15,31_3,Loudness,0,1,6,1
16,31_3,Loudness,0,1,3,1
17,31_3,Loudness,0,2,7,2
18,31_3,Loudness,0,1,5,1
19,31_3,Loudness,0,3,6,2
20,31_3,Loudness,0,3,7,2
