,SUBID,ATTR,KO,A,B,ANS
0,13_1,Reverberance,1,6,7,1
1,13_1,Reverberance,1,4,2,1
2,13_1,Reverberance,1,6,4,1
3,13_1,Reverberance,1,3,5,1
4,13_1,Reverberance,1,6,3,1
5,13_1,Reverberance,1,1,7,1
6,13_1,Reverberance,1,1,4,2
7,13_1,Reverberance,1,4,3,1
8,13_1,Reverberance,1,1,2,1
9,13_1,Reverberance,1,1,3,1
10,13_1,Reverberance,0,2,3,2
11,13_1,Reverberance,0,2,7,1
12,13_1,Reverberance,0,2,5,1
13,13_1,Reverberance,0,4,5,1
14,13_1,Reverberance,0,3,7,1
15,13_1,Reverberance,0,1,6,2
16,13_1,Reverberance,0,4,7,1
17,13_1,Reverberance,0,2,6,2
18,13_1,Reverberance,0,5,6,2
19,13_1,Reverberance,0,5,7,1
20,13_1,Reverberance,0,1,5,1
