,SUBID,ATTR,KO,A,B,ANS
0,29_3,Reverberance,1,6,4,1
1,29_3,Reverberance,1,2,7,1
2,29_3,Reverberance,1,6,2,1
3,29_3,Reverberance,1,3,5,2
4,29_3,Reverberance,1,6,5,1
5,29_3,Reverberance,1,1,4,1
6,29_3,Reverberance,1,1,2,1
7,29_3,Reverberance,1,1,5,1
8,29_3,Reverberance,1,4,2,1
9,29_3,Reverberance,1,4,5,1
10,29_3,Reverberance,0,2,3,2
11,29_3,Reverberance,0,1,7,1
12,29_3,Reverberance,0,4,7,1
13,29_3,Reverberance,0,1,6,1
14,29_3,Reverberance,0,3,6,2
15,29_3,Reverberance,0,3,7,1
16,29_3,Reverberance,0,2,5,1
17,29_3,Reverberance,0,6,7,1
18,29_3,Reverberance,0,1,3,1
19,29_3,Reverberance,0,3,4,2
20,29_3,Reverberance,0,5,7,1
