,SUBID,ATTR,KO,A,B,ANS
0,26_1,Reverberance,1,4,2,1
1,26_1,Reverberance,1,3,7,2
2,26_1,Reverberance,1,4,7,1
3,26_1,Reverberance,1,5,6,2
4,26_1,Reverberance,1,4,6,2
5,26_1,Reverberance,1,5,1,2
6,26_1,Reverberance,1,4,1,2
7,26_1,Reverberance,1,4,5,1
8,26_1,Reverberance,0,3,5,1
9,26_1,Reverberance,0,6,7,1
10,26_1,Reverberance,0,3,4,2
11,26_1,Reverberance,0,2,6,2
12,26_1,Reverberance,0,1,7,1
13,26_1,Reverberance,0,2,7,1
14,26_1,Reverberance,0,1,3,1
15,26_1,Reverberance,0,1,2,1
16,26_1,Reverberance,0,2,5,1
17,26_1,Reverberance,0,3,6,2
18,26_1,Reverberance,0,5,7,1
19,26_1,Reverberance,0,2,3,1
20,26_1,Reverberance,0,1,6,2
