,SUBID,ATTR,KO,A,B,ANS
0,26_2,Loudness,1,7,6,2
1,26_2,Loudness,1,5,4,1
2,26_2,Loudness,1,6,5,1
3,26_2,Loudness,1,3,1,2
4,26_2,Loudness,1,6,1,2
5,26_2,Loudness,1,3,2,2
6,26_2,Loudness,1,6,2,1
7,26_2,Loudness,1,7,5,1
8,26_2,Loudness,1,7,2,1
9,26_2,Loudness,0,1,7,1
10,26_2,Loudness,0,1,2,1
11,26_2,Loudness,0,2,5,2
12,26_2,Loudness,0,1,4,1
13,26_2,Loudness,0,3,7,1
14,26_2,Loudness,0,3,5,1
15,26_2,Loudness,0,4,7,1
16,26_2,Loudness,0,2,4,1
17,26_2,Loudness,0,1,5,1
18,26_2,Loudness,0,4,6,2
19,26_2,Loudness,0,3,4,2
20,26_2,Loudness,0,3,6,2
