,SUBID,ATTR,KO,A,B,ANS
0,28_2,Reverberance,1,4,6,1
1,28_2,Reverberance,1,3,5,2
2,28_2,Reverberance,1,4,5,1
3,28_2,Reverberance,1,7,2,2
4,28_2,Reverberance,1,4,2,1
5,28_2,Reverberance,1,1,6,1
6,28_2,Reverberance,1,1,5,1
7,28_2,Reverberance,1,1,2,1
8,28_2,Reverberance,1,6,5,1
9,28_2,Reverberance,1,6,2,1
10,28_2,Reverberance,0,5,7,1
11,28_2,Reverberance,0,3,4,2
12,28_2,Reverberance,0,1,3,1
13,28_2,Reverberance,0,2,5,2
14,28_2,Reverberance,0,4,7,1
15,28_2,Reverberance,0,1,4,1
16,28_2,Reverberance,0,1,7,1
17,28_2,Reverberance,0,3,6,2
18,28_2,Reverberance,0,2,3,2
19,28_2,Reverberance,0,3,7,1
20,28_2,Reverberance,0,6,7,1
