,SUBID,ATTR,KO,A,B,ANS
0,31_2,Loudness,1,7,6,2
1,31_2,Loudness,1,5,1,2
2,31_2,Loudness,1,6,1,2
3,31_2,Loudness,1,4,2,1
4,31_2,Loudness,1,1,4,1
5,31_2,Loudness,1,5,3,1
6,31_2,Loudness,1,6,5,1
7,31_2,Loudness,1,6,4,2
8,31_2,Loudness,1,6,2,1
9,31_2,Loudness,0,3,6,2
10,31_2,Loudness,0,5,7,1
11,31_2,Loudness,0,1,2,1
12,31_2,Loudness,0,1,3,1
13,31_2,Loudness,0,2,7,2
14,31_2,Loudness,0,1,7,1
15,31_2,Loudness,0,3,4,2
16,31_2,Loudness,0,4,7,1
17,31_2,Loudness,0,3,7,2
18,31_2,Loudness,0,2,3,1
19,31_2,Loudness,0,4,5,2
20,31_2,Loudness,0,2,5,2
