,SUBID,ATTR,KO,A,B,ANS
0,13_1,Loudness,1,4,1,2
1,13_1,Loudness,1,6,5,2
2,13_1,Loudness,1,1,5,1
3,13_1,Loudness,1,3,7,2
4,13_1,Loudness,1,1,7,1
5,13_1,Loudness,1,4,2,1
6,13_1,Loudness,1,4,5,1
7,13_1,Loudness,1,4,7,2
8,13_1,Loudness,1,4,3,1
9,13_1,Loudness,0,3,6,2
10,13_1,Loudness,0,6,7,1
11,13_1,Loudness,0,2,7,2
12,13_1,Loudness,0,2,6,2
13,13_1,Loudness,0,1,3,1
14,13_1,Loudness,0,1,6,1
15,13_1,Loudness,0,2,5,2
16,13_1,Loudness,0,5,7,1
17,13_1,Loudness,0,1,2,1
18,13_1,Loudness,0,2,3,1
19,13_1,Loudness,0,3,5,2
20,13_1,Loudness,0,4,6,2
