subj,rep,top3_1,top3_2,top3_3
10,1,1,6,4
10,2,1,6,5
10,3,4,1,5
13,1,1,7,4
13,2,1,5,4
13,3,1,4,5
14,1,1,5,4
14,2,1,4,5
14,3,6,1,4
24,1,1,6,5
24,2,1,6,4
24,3,1,6,4
25,1,1,5,6
25,2,1,6,4
25,3,1,6,4
28,1,1,4,6
28,2,1,4,6
28,3,6,1,4
29,1,1,6,5
29,2,1,6,4
29,3,5,1,6
19,1,1,6,4
19,2,1,6,5
19,3,1,6,7
26,1,1,6,4
26,2,1,6,7
26,3,1,4,6
31,1,1,4,6
31,2,1,4,6
31,3,1,6,4
