,SUBID,ATTR,KO,A,B,ANS
0,29_1,Reverberance,1,2,5,1
1,29_1,Reverberance,1,6,3,1
2,29_1,Reverberance,1,2,6,2
3,29_1,Reverberance,1,1,7,1
4,29_1,Reverberance,1,6,1,2
5,29_1,Reverberance,1,4,7,1
6,29_1,Reverberance,1,6,4,1
7,29_1,Reverberance,1,2,3,1
8,29_1,Reverberance,1,2,4,2
9,29_1,Reverberance,0,5,7,1
10,29_1,Reverberance,0,1,3,1
11,29_1,Reverberance,0,1,5,1
12,29_1,Reverberance,0,3,5,1
13,29_1,Reverberance,0,4,5,1
14,29_1,Reverberance,0,3,7,1
15,29_1,Reverberance,0,1,2,1
16,29_1,Reverberance,0,2,7,1
17,29_1,Reverberance,0,6,7,1
18,29_1,Reverberance,0,5,6,2
19,29_1,Reverberance,0,3,4,2
20,29_1,Reverberance,0,1,4,1
