,SUBID,ATTR,KO,A,B,ANS
0,14_2,Reverberance,1,2,5,1
1,14_2,Reverberance,1,3,1,2
2,14_2,Reverberance,1,2,1,2
3,14_2,Reverberance,1,4,7,1
4,14_2,Reverberance,1,1,4,1
5,14_2,Reverberance,1,3,6,2
6,14_2,Reverberance,1,2,6,2
7,14_2,Reverberance,1,6,4,1
8,14_2,Reverberance,1,2,3,1
9,14_2,Reverberance,1,2,4,2
10,14_2,Reverberance,0,1,6,1
11,14_2,Reverberance,0,3,4,2
12,14_2,Reverberance,0,1,5,1
13,14_2,Reverberance,0,3,5,2
14,14_2,Reverberance,0,5,7,1
15,14_2,Reverberance,0,3,7,1
16,14_2,Reverberance,0,5,6,2
17,14_2,Reverberance,0,2,7,2
18,14_2,Reverberance,0,4,5,1
19,14_2,Reverberance,0,1,7,1
20,14_2,Reverberance,0,6,7,1
