subj,rep,top3_1,top3_2,top3_3
10,1,6,4,2
10,2,1,4,5
10,3,1,6,4
13,1,6,4,1
13,2,6,4,2
13,3,4,6,2
14,1,1,5,6
14,2,1,6,4
14,3,1,6,4
24,1,6,1,5
24,2,1,6,4
24,3,1,6,4
25,1,1,6,5
25,2,4,1,6
25,3,6,1,4
28,1,1,4,6
28,2,4,1,6
28,3,1,5,4
29,1,1,6,4
29,2,1,6,4
29,3,6,1,4
19,1,6,1,4
19,2,6,1,7
19,3,1,4,6
26,1,6,1,4
26,2,6,1,4
26,3,6,1,4
31,1,6,2,4
31,2,6,4,1
31,3,6,1,4
