,SUBID,ATTR,KO,A,B,ANS
0,26_3,Reverberance,1,1,2,1
1,26_3,Reverberance,1,4,7,1
2,26_3,Reverberance,1,1,4,1
3,26_3,Reverberance,1,6,5,1
4,26_3,Reverberance,1,1,6,2
5,26_3,Reverberance,1,3,5,2
6,26_3,Reverberance,1,1,5,1
7,26_3,Reverberance,1,2,4,2
8,26_3,Reverberance,1,4,5,1
9,26_3,Reverberance,0,5,7,1
10,26_3,Reverberance,0,3,6,2
11,26_3,Reverberance,0,2,5,2
12,26_3,Reverberance,0,2,7,2
13,26_3,Reverberance,0,1,3,1
14,26_3,Reverberance,0,3,4,2
15,26_3,Reverberance,0,3,7,2
16,26_3,Reverberance,0,4,6,2
17,26_3,Reverberance,0,6,7,1
18,26_3,Reverberance,0,1,7,1
19,26_3,Reverberance,0,2,6,2
20,26_3,Reverberance,0,2,3,1
