,SUBID,ATTR,KO,A,B,ANS
0,24_1,Reverberance,1,5,3,1
1,24_1,Reverberance,1,2,7,2
2,24_1,Reverberance,1,5,7,1
3,24_1,Reverberance,1,6,4,1
4,24_1,Reverberance,1,5,6,2
5,24_1,Reverberance,1,1,4,1
6,24_1,Reverberance,1,5,1,2
7,24_1,Reverberance,1,5,4,1
8,24_1,Reverberance,0,1,2,1
9,24_1,Reverberance,0,2,5,2
10,24_1,Reverberance,0,4,7,1
11,24_1,Reverberance,0,3,4,2
12,24_1,Reverberance,0,2,4,2
13,24_1,Reverberance,0,2,6,2
14,24_1,Reverberance,0,1,7,1
15,24_1,Reverberance,0,1,3,1
16,24_1,Reverberance,0,3,7,2
17,24_1,Reverberance,0,1,6,1
18,24_1,Reverberance,0,2,3,2
19,24_1,Reverberance,0,3,6,2
20,24_1,Reverberance,0,6,7,1
