,SUBID,ATTR,KO,A,B,ANS
0,19_2,Loudness,1,2,6,2
1,19_2,Loudness,1,4,5,2
2,19_2,Loudness,1,6,5,1
3,19_2,Loudness,1,3,1,2
4,19_2,Loudness,1,6,1,2
5,19_2,Loudness,1,3,7,2
6,19_2,Loudness,1,6,7,1
7,19_2,Loudness,1,2,5,2
8,19_2,Loudness,1,5,7,1
9,19_2,Loudness,0,2,4,2
10,19_2,Loudness,0,1,5,1
11,19_2,Loudness,0,1,4,1
12,19_2,Loudness,0,1,7,1
13,19_2,Loudness,0,3,4,2
14,19_2,Loudness,0,2,3,1
15,19_2,Loudness,0,1,2,1
16,19_2,Loudness,0,3,6,2
17,19_2,Loudness,0,4,6,2
18,19_2,Loudness,0,4,7,1
19,19_2,Loudness,0,2,7,1
20,19_2,Loudness,0,3,5,2
