,SUBID,ATTR,KO,A,B,ANS
0,10_2,Reverberance,1,3,4,2
1,10_2,Reverberance,1,6,2,2
2,10_2,Reverberance,1,4,2,1
3,10_2,Reverberance,1,5,1,2
4,10_2,Reverberance,1,4,1,2
5,10_2,Reverberance,1,5,7,1
6,10_2,Reverberance,1,4,5,1
7,10_2,Reverberance,1,3,2,2
8,10_2,Reverberance,1,2,5,2
9,10_2,Reverberance,0,6,7,1
10,10_2,Reverberance,0,5,6,2
11,10_2,Reverberance,0,4,6,1
12,10_2,Reverberance,0,1,7,1
13,10_2,Reverberance,0,3,7,1
14,10_2,Reverberance,0,1,2,2
15,10_2,Reverberance,0,3,5,2
16,10_2,Reverberance,0,1,6,1
17,10_2,Reverberance,0,3,6,2
18,10_2,Reverberance,0,1,3,1
19,10_2,Reverberance,0,4,7,1
20,10_2,Reverberance,0,2,7,1
