,SUBID,ATTR,KO,A,B,ANS
0,28_1,Reverberance,1,6,4,2
1,28_1,Reverberance,1,7,5,1
2,28_1,Reverberance,1,4,7,1
3,28_1,Reverberance,1,1,2,1
4,28_1,Reverberance,1,4,1,2
5,28_1,Reverberance,1,3,2,2
6,28_1,Reverberance,1,4,2,1
7,28_1,Reverberance,1,6,7,1
8,28_1,Reverberance,1,6,2,1
9,28_1,Reverberance,0,1,5,1
10,28_1,Reverberance,0,2,7,1
11,28_1,Reverberance,0,2,5,2
12,28_1,Reverberance,0,3,4,2
13,28_1,Reverberance,0,1,7,1
14,28_1,Reverberance,0,3,7,1
15,28_1,Reverberance,0,5,6,1
16,28_1,Reverberance,0,3,5,2
17,28_1,Reverberance,0,1,6,1
18,28_1,Reverberance,0,3,6,2
19,28_1,Reverberance,0,1,3,1
20,28_1,Reverberance,0,4,5,1
