,SUBID,ATTR,KO,A,B,ANS
0,10_1,Reverberance,1,1,7,1
1,10_1,Reverberance,1,6,3,1
2,10_1,Reverberance,1,1,6,2
3,10_1,Reverberance,1,5,2,2
4,10_1,Reverberance,1,6,2,1
5,10_1,Reverberance,1,4,3,1
6,10_1,Reverberance,1,1,4,2
7,10_1,Reverberance,1,4,2,1
8,10_1,Reverberance,1,1,3,1
9,10_1,Reverberance,1,1,2,2
10,10_1,Reverberance,0,4,6,1
11,10_1,Reverberance,0,5,6,2
12,10_1,Reverberance,0,4,7,1
13,10_1,Reverberance,0,3,7,1
14,10_1,Reverberance,0,1,5,1
15,10_1,Reverberance,0,3,5,2
16,10_1,Reverberance,0,6,7,1
17,10_1,Reverberance,0,4,5,1
18,10_1,Reverberance,0,2,3,1
19,10_1,Reverberance,0,2,7,1
20,10_1,Reverberance,0,5,7,1
