,SUBID,ATTR,KO,A,B,ANS
0,14_1,Reverberance,1,7,5,2
1,14_1,Reverberance,1,2,3,1
2,14_1,Reverberance,1,5,2,1
3,14_1,Reverberance,1,1,6,1
4,14_1,Reverberance,1,5,1,2
5,14_1,Reverberance,1,4,6,2
6,14_1,Reverberance,1,5,6,1
7,14_1,Reverberance,1,7,2,2
8,14_1,Reverberance,1,2,6,2
9,14_1,Reverberance,0,1,4,1
10,14_1,Reverberance,0,3,4,2
11,14_1,Reverberance,0,2,4,2
12,14_1,Reverberance,0,1,7,1
13,14_1,Reverberance,0,1,2,1
14,14_1,Reverberance,0,4,5,2
15,14_1,Reverberance,0,3,7,2
16,14_1,Reverberance,0,3,5,2
17,14_1,Reverberance,0,4,7,1
18,14_1,Reverberance,0,6,7,1
19,14_1,Reverberance,0,1,3,1
20,14_1,Reverberance,0,3,6,2
