,SUBID,ATTR,KO,A,B,ANS
0,24_3,Reverberance,1,7,3,1
1,24_3,Reverberance,1,6,5,1
2,24_3,Reverberance,1,7,6,2
3,24_3,Reverberance,1,1,4,1
4,24_3,Reverberance,1,6,1,2
5,24_3,Reverberance,1,2,4,2
6,24_3,Reverberance,1,6,4,1
7,24_3,Reverberance,1,7,5,2
8,24_3,Reverberance,1,5,4,2
9,24_3,Reverberance,0,3,6,2
10,24_3,Reverberance,0,1,3,1
11,24_3,Reverberance,0,2,5,2
12,24_3,Reverberance,0,2,6,2
13,24_3,Reverberance,0,3,4,2
14,24_3,Reverberance,0,1,2,1
15,24_3,Reverberance,0,1,5,1
16,24_3,Reverberance,0,1,7,1
17,24_3,Reverberance,0,4,7,1
18,24_3,Reverberance,0,3,5,1
19,24_3,Reverberance,0,2,3,2
20,24_3,Reverberance,0,2,7,2
