,SUBID,ATTR,KO,A,B,ANS
0,14_3,Reverberance,1,7,1,2
1,14_3,Reverberance,1,3,2,1
2,14_3,Reverberance,1,1,3,1
3,14_3,Reverberance,1,4,5,1
4,14_3,Reverberance,1,1,4,1
5,14_3,Reverberance,1,7,6,2
6,14_3,Reverberance,1,6,3,1
7,14_3,Reverberance,1,6,4,1
8,14_3,Reverberance,1,7,3,1
9,14_3,Reverberance,1,7,4,2
10,14_3,Reverberance,0,5,7,1
11,14_3,Reverberance,0,5,6,2
12,14_3,Reverberance,0,1,5,1
13,14_3,Reverberance,0,2,4,2
14,14_3,Reverberance,0,3,4,2
15,14_3,Reverberance,0,2,6,2
16,14_3,Reverberance,0,1,6,1
17,14_3,Reverberance,0,2,7,1
18,14_3,Reverberance,0,1,2,1
19,14_3,Reverberance,0,2,5,2
20,14_3,Reverberance,0,3,5,1
