,SUBID,ATTR,KO,A,B,ANS
0,13_3,Loudness,1,6,3,1
1,13_3,Loudness,1,7,4,2
2,13_3,Loudness,1,6,4,2
3,13_3,Loudness,1,1,5,1
4,13_3,Loudness,1,4,1,2
5,13_3,Loudness,1,2,5,2
6,13_3,Loudness,1,4,5,1
7,13_3,Loudness,1,6,7,1
8,13_3,Loudness,1,6,5,2
9,13_3,Loudness,0,5,7,1
10,13_3,Loudness,0,1,6,1
11,13_3,Loudness,0,2,7,1
12,13_3,Loudness,0,1,7,1
13,13_3,Loudness,0,1,3,1
14,13_3,Loudness,0,3,4,2
15,13_3,Loudness,0,2,4,2
16,13_3,Loudness,0,3,5,2
17,13_3,Loudness,0,2,3,2
18,13_3,Loudness,0,3,7,2
19,13_3,Loudness,0,1,2,1
20,13_3,Loudness,0,2,6,2
