,SUBID,ATTR,KO,A,B,ANS
0,25_2,Reverberance,1,6,1,2
1,25_2,Reverberance,1,5,3,1
2,25_2,Reverberance,1,1,5,1
3,25_2,Reverberance,1,4,2,1
4,25_2,Reverberance,1,1,4,2
5,25_2,Reverberance,1,7,2,1
6,25_2,Reverberance,1,1,7,1
7,25_2,Reverberance,1,6,5,1
8,25_2,Reverberance,1,6,7,1
9,25_2,Reverberance,0,3,7,1
10,25_2,Reverberance,0,1,2,1
11,25_2,Reverberance,0,2,6,2
12,25_2,Reverberance,0,2,3,2
13,25_2,Reverberance,0,4,7,1
14,25_2,Reverberance,0,5,7,2
15,25_2,Reverberance,0,3,6,2
16,25_2,Reverberance,0,2,5,1
17,25_2,Reverberance,0,1,3,1
18,25_2,Reverberance,0,4,5,1
19,25_2,Reverberance,0,3,4,2
20,25_2,Reverberance,0,4,6,1
