,SUBID,ATTR,KO,A,B,ANS
0,19_1,Reverberance,1,4,6,2
1,19_1,Reverberance,1,7,2,2
2,19_1,Reverberance,1,6,2,1
3,19_1,Reverberance,1,5,3,2
4,19_1,Reverberance,1,6,3,1
5,19_1,Reverberance,1,4,1,2
6,19_1,Reverberance,1,1,2,1
7,19_1,Reverberance,1,1,3,1
8,19_1,Reverberance,1,4,2,1
9,19_1,Reverberance,1,4,3,1
10,19_1,Reverberance,0,4,7,1
11,19_1,Reverberance,0,4,5,1
12,19_1,Reverberance,0,2,3,1
13,19_1,Reverberance,0,3,7,1
14,19_1,Reverberance,0,1,5,1
15,19_1,Reverberance,0,1,6,2
16,19_1,Reverberance,0,5,6,1
17,19_1,Reverberance,0,2,5,1
18,19_1,Reverberance,0,6,7,2
19,19_1,Reverberance,0,1,7,1
20,19_1,Reverberance,0,5,7,2
