,SUBID,ATTR,KO,A,B,ANS
0,31_2,Reverberance,1,2,7,2
1,31_2,Reverberance,1,1,5,1
2,31_2,Reverberance,1,7,1,2
3,31_2,Reverberance,1,6,3,1
4,31_2,Reverberance,1,1,6,2
5,31_2,Reverberance,1,4,3,1
6,31_2,Reverberance,1,1,4,2
7,31_2,Reverberance,1,1,3,1
8,31_2,Reverberance,0,3,7,1
9,31_2,Reverberance,0,2,6,2
10,31_2,Reverberance,0,3,5,2
11,31_2,Reverberance,0,4,5,1
12,31_2,Reverberance,0,4,6,2
13,31_2,Reverberance,0,5,7,1
14,31_2,Reverberance,0,1,2,1
15,31_2,Reverberance,0,2,3,2
16,31_2,Reverberance,0,4,7,1
17,31_2,Reverberance,0,6,7,1
18,31_2,Reverberance,0,5,6,2
19,31_2,Reverberance,0,2,5,2
20,31_2,Reverberance,0,2,4,2
