,SUBID,ATTR,KO,A,B,ANS
0,24_2,Reverberance,1,1,4,1
1,24_2,Reverberance,1,2,7,2
2,24_2,Reverberance,1,1,7,1
3,24_2,Reverberance,1,6,5,1
4,24_2,Reverberance,1,1,6,1
5,24_2,Reverberance,1,3,4,2
6,24_2,Reverberance,1,4,7,1
7,24_2,Reverberance,1,4,6,2
8,24_2,Reverberance,1,4,5,1
9,24_2,Reverberance,0,3,7,1
10,24_2,Reverberance,0,1,5,1
11,24_2,Reverberance,0,3,5,2
12,24_2,Reverberance,0,5,7,2
13,24_2,Reverberance,0,3,6,2
14,24_2,Reverberance,0,2,3,2
15,24_2,Reverberance,0,2,4,2
16,24_2,Reverberance,0,1,3,1
17,24_2,Reverberance,0,2,6,2
18,24_2,Reverberance,0,6,7,1
19,24_2,Reverberance,0,2,5,2
20,24_2,Reverberance,0,1,2,1
