,SUBID,ATTR,KO,A,B,ANS
0,28_3,Reverberance,1,7,1,2
1,28_3,Reverberance,1,5,2,1
2,28_3,Reverberance,1,1,5,1
3,28_3,Reverberance,1,4,6,1
4,28_3,Reverberance,1,1,4,1
5,28_3,Reverberance,1,7,3,1
6,28_3,Reverberance,1,7,5,2
7,28_3,Reverberance,1,5,4,1
8,28_3,Reverberance,1,7,2,1
9,28_3,Reverberance,1,7,4,2
10,28_3,Reverberance,0,3,4,2
11,28_3,Reverberance,0,6,7,1
12,28_3,Reverberance,0,3,6,2
13,28_3,Reverberance,0,2,6,2
14,28_3,Reverberance,0,3,5,2
15,28_3,Reverberance,0,1,6,1
16,28_3,Reverberance,0,5,6,2
17,28_3,Reverberance,0,2,4,2
18,28_3,Reverberance,0,1,2,1
19,28_3,Reverberance,0,2,3,1
20,28_3,Reverberance,0,1,3,1
